English,,Bla'an
abaca,,lutay
afternoon,,flabi
all,,Kdee
ankle ,,fninting 
answer ,,tnimel(timel)
anus,,lufut
areca nut,,nama'
ashamed,,mya'
ashes,,abu
back(of person),,kagol
"bad(deleterious,unsuitable)",,sase'
banana,,saging
bark(of tree),,kulit
bathe,,dyo
belly,,tien
betel leaf,,"doon I nama',ike'"
betel and areca nut chew,,nama'
big,,bong
bird,,anuk
to bite ,,make't
bitter,,fe'e't
black,,fitam
blanket,,kayab
blind,,bute'
blood,,lite'
blow(as a fire),,myuf
body,,lawe
boil(infection),,biga'
to boil(intransitive),,kaok
bone,,tulan
brain,,utak
breakfast,,famahaw
breast,,tutu'
burn(a field),,ntam
bury(inter),,ibang
butterfly,,kalbangi
buttocks,,kwang
buy,,mayad
call,,tlo
"canoe,boat",,aweng
canoe paddle,,kwa
carabao,,kalabaw
charcoal,,"uling,using"
cheek,,fifi
chest(body),,kfe
chicken,,anuk
child,,tinga'
chin,,keke'
choose,,nale'k
climb(a tree ),,mkef
cloud,,labun
coconut(ripe),,ifo'
coconut(unripe),,beteng
cold(as of water),,tno
comb,,swat
to cook,,mlifo
cooking pot,,kulang
companion,,derne
cotton(kapok),,kafok
cough,,mkaw
to count,,mse
crocodile,,
crow,,wak
to cry(weep),,mngel
to cut(slice meat),,fnale'
day,,duh
dead,,mati
deaf,,bakon
debt,,uteng
deep,,mnalam
deer,,uheh
defecate,,milong
delouse ,,tandas
difficult,,malima
to dig(a hole),,nakol
dirty(clothes),,magagsik
dog,,ayem
dream,,Kna
to drink,,minum
dry(not wet),,kafag
to dry(rice in sun,,fanlawi
dull(as a knife),,la' gamban
dust,,Kfung
ear,,klinge
east,,gusut I duh
earth,,tana'
earthquake,,linol
to eat,,kmaan
eel,,kili
egg,,tinga' anuk
eggplant,,skatong
eight,,walu
elbow,,sigu
excrement,,te'e'
eye,,mata
eyebrow,,klube'ng
eyelashes,,bul mata
face,,bawek
"to fall(drop,not topple)",,tatek